,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,skew_r,skew_g,skew_b,kurtosis_r,kurtosis_g,kurtosis_b,class
3016,27.25,66.27441406,76.78125,10.81502861,16.85351322,17.75492339,116.9648438,284.0409079,315.2373047,-0.739028185,-1.531777526,-1.747790461,0.121484399,3.179686656,3.876686585,1
3017,27.99121094,78.6953125,77.72265625,9.605444872,14.32371754,14.93250552,92.26457119,205.1688843,222.9797211,-0.708581053,-1.527954935,-1.199444072,0.488084992,3.381801062,2.293910529,1
3018,31.00683594,76.75683594,82.68847656,8.14402533,13.024858,12.94646519,66.32514858,169.6469259,167.610961,-1.41754329,-1.875921019,-2.177223329,3.076627782,5.840733846,8.050615583,1
3019,32.33789063,77.49414063,79.23535156,7.667471995,10.8039148,11.8787116,58.7901268,116.724575,141.1037893,-0.348446879,-0.432871162,-0.477729129,0.453962454,0.236585956,0.478789252,1
3020,31.11035156,75.43164063,79.52050781,8.355769098,11.53100503,12.4157933,69.81887722,132.964077,154.1519232,-0.642856136,-0.831218689,-0.867370564,0.565323663,0.990914785,0.914958476,1
3021,27.18847656,73.06445313,80.39257813,7.60105256,10.62333379,11.55659408,57.77600002,112.8552208,133.5548668,-0.526090948,-0.681618086,-0.653651969,-0.091737356,0.251428058,0.135432936,1
3022,32.81152344,82.55664063,79.45117188,11.31718757,13.8859302,13.68655671,128.0787344,192.8190575,187.3218346,-0.348219311,-2.143759019,-2.005301566,0.819044681,7.302700216,6.739110251,1
3023,27.12011719,74.09570313,80.31152344,8.112022423,11.73355819,12.33815633,65.8049078,137.6763878,152.2301016,-0.793477959,-1.148400915,-1.342729673,0.686758705,1.988900297,2.644193831,1
3024,33.38964844,81.95214844,82.42089844,8.197723238,13.00468122,12.9175417,67.20266628,169.1217337,166.8628836,-1.219435859,-1.289553586,-0.732736017,1.811596061,2.356791878,1.300094549,1
3025,27.88476563,79.74121094,80.41113281,8.854311403,13.90271798,14.66394098,78.39883041,193.2855673,215.0311651,-0.781783351,-1.187129476,-1.129410553,0.323355456,2.142325619,1.864442965,1
