,dissimilarity,correlation,energy,ASM,contrast,homogeneity,class
68,9.316532258,0.793826203,0.030534539,0.000932358,152.546371,0.116347038,1
69,10.03225806,0.843005734,0.028458859,0.000809907,175.7197581,0.117371316,1
70,7.302419355,0.89181389,0.031997117,0.001023816,87.15120968,0.126748639,1
71,10.05443548,0.826275789,0.029596609,0.000875959,171.1209677,0.101361009,1
72,3.619959677,0.840277484,0.056135709,0.003151218,22.84576613,0.247277671,1
73,7.972782258,0.825965446,0.031766031,0.001009081,105.765121,0.126705767,1
74,8.553427419,0.828379157,0.031095155,0.000966909,126.5131048,0.118758956,1
75,7.303427419,0.891607529,0.032688348,0.001068528,88.00907258,0.125762089,1
76,9.453629032,0.808345551,0.029844499,0.000890694,144.6370968,0.097618246,1
77,12.00604839,0.782873251,0.028297719,0.000800761,252.4919355,0.098420025,1
78,7.322580645,0.914818989,0.030964158,0.000958779,94.18548387,0.142750411,1
79,7.905241935,0.925409197,0.030115664,0.000906953,104.7479839,0.128148205,1
80,6.053427419,0.921884805,0.035576252,0.00126567,67.6421371,0.18607355,1
81,6.408266129,0.92906461,0.034118181,0.00116405,73.42439516,0.160243209,1
82,8.415322581,0.83647476,0.031476804,0.000990789,132.7197581,0.137937165,1
83,7.60483871,0.89566366,0.031525193,0.000993838,96.6733871,0.126491287,1
84,7.951612903,0.88155381,0.030758359,0.000946077,105.8205645,0.112307962,1
85,7.414314516,0.923814023,0.031258128,0.000977071,109.3881048,0.170439462,1
86,6.253024194,0.928593772,0.033683537,0.001134581,64.3921371,0.155544109,1
87,8.5625,0.775411669,0.032781477,0.001074625,119.5362903,0.11394695,1
88,8.336693548,0.905653406,0.030149388,0.000908986,123.7439516,0.120673449,1
89,8.61391129,0.871375356,0.030642508,0.000938963,140.0252016,0.120748693,1
90,7.341733871,0.853136942,0.03556911,0.001265162,99.57358871,0.145832639,1
91,6.421370968,0.919450831,0.041928698,0.001758016,83.67741935,0.199510633,1
92,8.358870968,0.829886909,0.031581553,0.000997394,119.5120968,0.10527828,1
93,7.550403226,0.857766819,0.033304291,0.001109176,106.421371,0.147590868,1
94,7.66733871,0.848634619,0.031790014,0.001010605,101.6048387,0.128036602,1
95,7.03125,0.881038151,0.033811512,0.001143218,87.30141129,0.152017964,1
96,8.018145161,0.872197034,0.031062458,0.000964876,112.8931452,0.140191036,1
97,9.839717742,0.880923117,0.02832464,0.000802285,167.2530242,0.096217706,1
98,7.107862903,0.896369912,0.031709999,0.001005524,84.3578629,0.152969478,1
99,7.357862903,0.884486647,0.033020845,0.001090376,88.16431452,0.129528462,1
100,6.418346774,0.856585046,0.034694119,0.001203682,65.46471774,0.141609185,1
101,7.704637097,0.818920648,0.033005455,0.00108936,94.89616935,0.120758825,1
102,6.640120968,0.828153637,0.035267854,0.001243822,73.32157258,0.142598898,1
103,8.165322581,0.834585601,0.031581553,0.000997394,120.7217742,0.120634255,1
104,5.382056452,0.877831362,0.044526336,0.001982595,68.02520161,0.212877813,1
105,8.85483871,0.869795262,0.030534539,0.000932358,146.3568548,0.128658715,1
106,7.736895161,0.869637517,0.031782022,0.001010097,109.3135081,0.13795742,1
107,8.267137097,0.821883016,0.032028861,0.001025848,119.3014113,0.122934396,1
108,5.893145161,0.874453322,0.038478497,0.001480595,64.72782258,0.190535357,1
109,4.381048387,0.932725536,0.039507899,0.001560874,33.22782258,0.215745749,1
110,5.105846774,0.835184146,0.042975955,0.001846933,50.39616935,0.216750291,1
111,4.537298387,0.780613173,0.055631098,0.003094819,44.32358871,0.244504183,1
112,5.365927419,0.841743611,0.045636496,0.00208269,74.38004032,0.22208161,1
113,5.855846774,0.845271985,0.056671698,0.003211681,127.0514113,0.231891513,1
114,6.239919355,0.786513215,0.041201362,0.001697552,69.43145161,0.153000743,1
115,3.846774194,0.558389312,0.06749517,0.004555598,30.05645161,0.259799459,1
116,3.627016129,0.681524971,0.065287258,0.004262426,22.52419355,0.250851972,1
117,3.294354839,0.551938033,0.07914109,0.006263312,18.95967742,0.272974448,1
118,3.101814516,0.514251093,0.087576965,0.007669725,17.50705645,0.297016671,1
119,3.515120968,0.663817552,0.076844673,0.005905104,24.29334677,0.280167055,1
120,3.219758065,0.624680545,0.073367431,0.00538278,17.63508065,0.257185254,1
121,7.450604839,0.688111041,0.037832649,0.001431309,96.05141129,0.139556184,1
122,7.976814516,0.69332895,0.035626204,0.001269226,105.734879,0.129534886,1
123,7.268145161,0.802795239,0.034927654,0.001219941,88.16532258,0.147357034,1
124,4.879032258,0.877027116,0.046019001,0.002117748,49.81048387,0.224656392,1
125,6.160282258,0.778725922,0.040842166,0.001668083,68.22479839,0.158028031,1
126,5.591733871,0.825083292,0.041392067,0.001713303,53.03931452,0.167570695,1
127,5.48891129,0.866052159,0.040069772,0.001605587,55.52923387,0.192555527,1
128,7.126008065,0.789375443,0.035476138,0.001258556,84.42439516,0.139878686,1
129,7.154233871,0.803242916,0.03397641,0.001154396,91.21471774,0.154471347,1
