,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,std_r,std_g,std_b,std_h,std_s,std_v,var_r,var_g,var_b,var_h,var_s,var_v,energy,ASM,homogeneity,skew_r,skew_g,skew_b,kurtosis_r,kurtosis_g,kurtosis_b,lbp,class
1564,136.921875,140.4404296875,130.65234375,41.65625,21.2919921875,141.416015625,20.26248048078949,16.32358238876714,15.545869451620772,17.340033385564745,6.000788875217904,16.90659014629372,410.568115234375,266.45934200286865,241.67405700683594,300.6767578125,36.009467124938965,285.83279037475586,0.042278663257078165,0.0017874853668054112,0.23635614067702942,-0.86117996973336,-1.2165908740786653,-1.1895629375340824,2.752274298404031,7.779448293352079,7.789472751231539,390,0
1565,84.0927734375,117.0869140625,109.0771484375,82.7060546875,72.1953125,117.0869140625,9.136988407117219,6.7740647884589755,6.59063205854274,1.9081758870081336,13.18501670561489,6.7740647884589755,83.48455715179443,45.887953758239746,43.43643093109131,3.6411352157592773,173.84466552734375,45.887953758239746,0.08008246229624662,0.006413200767429761,0.3983983026991728,-0.40378065738844104,-1.0239561215354995,-0.8520243291980742,-0.6400346279403859,1.7563584613762595,1.7108621602468457,683,0
1566,95.8857421875,129.9150390625,117.01953125,77.75,68.1884765625,129.9150390625,17.78994273008721,11.472692118748725,10.382885245935903,4.793591099061329,18.4545637146449,11.472692118748725,316.4820623397827,131.62266445159912,107.80430603027344,22.978515625,340.5709218978882,131.62266445159912,0.07218051669331874,0.005210026990114466,0.4201531997271837,1.03923444359345,1.2941362765111417,1.824044661312905,0.7386358916058442,2.784051495125235,5.399169555777611,466,0
1567,102.5537109375,131.5390625,120.5576171875,78.1904296875,57.2763671875,131.5390625,17.619764456717146,14.108481681991643,13.696864682645609,3.9977857898615143,13.297555728974153,14.108481681991643,310.45609951019287,199.04925537109375,187.6041021347046,15.982291221618652,176.82498836517334,199.04925537109375,0.06044185368516641,0.0036532176768990644,0.3339376147802166,1.7989417472032663,1.8467267386646942,1.8051857416903367,4.196762250642819,4.44861349544259,4.392112872799966,399,0
1568,88.0654296875,122.501953125,112.2060546875,80.96875,72.5283203125,122.501953125,13.31582324317553,12.947007228904399,12.010474044693627,2.6716465545614376,12.59964884768222,12.947007228904399,177.31114864349365,167.62499618530273,144.25148677825928,7.1376953125,158.7511510848999,167.62499618530273,0.074899261385807,0.005609899356139441,0.38290706034327016,-1.0308605627717915,-1.7294285613463234,-1.6753572827561747,0.9437619782086313,3.0258315507648224,3.0046463471167897,538,0
1569,101.32421875,134.9150390625,120.9892578125,77.4609375,63.828125,134.9150390625,8.95792897812594,5.704782156366632,6.007879090653183,1.5886676008824974,10.059575953258417,5.704782156366632,80.24449157714844,32.54453945159912,36.094611167907715,2.52386474609375,101.195068359375,32.54453945159912,0.08358429411177924,0.006986334222164413,0.43254688068646485,-0.5179115834045515,-0.2236550089472749,-0.27469528722417114,-0.32123497027950965,0.26297291741601336,-0.025182410255985666,552,0
1570,88.69140625,128.8173828125,116.6005859375,80.818359375,79.779296875,128.8173828125,8.465260142042945,5.305404322512055,5.997040257008222,1.250083920522782,10.981701803710354,5.305404322512055,71.66062927246094,28.14731502532959,35.964491844177246,1.5627098083496094,120.59777450561523,28.14731502532959,0.08271352106746353,0.006841526567377734,0.4253405205188136,-0.08428671014906806,0.1456338931922228,0.06257755054483753,-1.1807765140811348,-0.5427797570165374,-0.5403535468216476,512,0
1571,82.9462890625,125.015625,112.1416015625,80.8671875,85.90625,125.015625,5.293721028038111,4.762293917785314,4.717246011710388,1.4737075574359215,6.474484173468957,4.762293917785314,28.02348232269287,22.679443359375,22.25240993499756,2.17181396484375,41.9189453125,22.679443359375,0.10032901049693697,0.01006591034729449,0.4415138695475509,0.11993397264400066,-0.06573894581537565,-0.39892041447039966,-0.15560135478994086,0.039368062229443446,0.375477116403077,672,0
1572,101.814453125,133.0458984375,119.837890625,77.0439453125,60.2353515625,133.0458984375,9.717330387363482,6.720046588077724,7.280719524919025,2.5266204695223373,10.895108934954658,6.720046588077724,94.42650985717773,45.15902614593506,53.00887680053711,6.383810997009277,118.70339870452881,45.15902614593506,0.08743761247713934,0.007645336075702394,0.4260496125536073,-0.8509751987846754,-1.3028068710111906,-1.3546455327232216,0.39005140064918375,2.4877139549210403,2.695829226136519,602,0
1573,130.04296875,140.16796875,127.9599609375,55.6572265625,26.1181640625,140.16796875,15.792109796082455,13.969033462413334,13.271185833827138,13.993814430241828,4.127686406067387,13.969033462413334,249.39073181152344,195.13389587402344,176.12437343597412,195.82684230804443,17.037795066833496,195.13389587402344,0.05306001948052483,0.0028153656672736745,0.3396389939525467,0.5372123130681767,0.9997241989450081,1.2789406960567364,-0.036274674152362074,1.1055621847441293,2.0771028850159183,571,0
