,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,class
3997,27.203125,48.23535156,20.47558594,20.60580902,25.29204961,15.45960556,424.5993652,639.6877737,238.999404,1
3998,27.43164063,52.45410156,20.23730469,20.10502733,24.55008916,14.53536014,404.2121239,602.7068777,211.2766943,1
3999,27.34277344,60.83984375,20.24121094,16.91086139,22.27920604,12.87255062,285.9772329,496.3630219,165.7025595,1
4000,28.51269531,51.54003906,22.73535156,19.45246196,22.83475709,15.43108673,378.3982763,521.4261312,238.1184378,1
4001,31.16503906,60.67578125,20.37792969,17.83368007,21.67462603,12.78857298,318.0401449,469.7894135,163.5475988,1
4002,29.18261719,47.80175781,21.56640625,19.49611466,24.48306886,14.43870004,380.0984869,599.420661,208.476059,1
4003,24.41796875,34.88964844,22.9921875,19.17031777,21.14594307,16.52211874,367.5010834,447.1509085,272.9804077,1
4004,27.10351563,39.96289063,23.44726563,19.77601697,22.71611896,16.67494707,391.090847,516.0220604,278.0538597,1
4005,27.10253906,40.93457031,24.78417969,21.65627781,23.96735687,17.68201394,468.9943686,574.4341955,312.6536169,1
4006,22.04492188,38.03710938,21.92871094,15.97605427,19.01383619,14.88818336,255.2343102,361.5259666,221.6580038,1
4007,27.7265625,45.81445313,25.90820313,17.88454284,20.76643612,15.60671965,319.8568726,431.2448692,243.5696983,1
4008,27.94726563,41.8125,21.43554688,20.8140754,23.49185364,15.5488691,433.2257347,551.8671875,241.7673302,1
4009,27.20410156,36.06542969,22.67578125,18.29997286,21.93956134,15.03493196,334.8890066,481.3443518,226.0491791,1
4010,30.56640625,43.91796875,29.01855469,13.97149317,14.09202142,12.30332175,195.2026215,198.5850677,151.371726,1
4011,27.86816406,40.46777344,24.09277344,18.77048886,19.30377373,14.59318744,352.3312521,372.6356802,212.9611197,1
4012,24.83984375,50.18261719,21.43359375,16.26074568,20.94348913,13.18792521,264.41185,438.6297369,173.9213715,1
4013,20.45507813,40.58886719,19.88964844,12.60967253,15.9945643,11.33778813,159.0038414,255.826087,128.5454397,1
4014,29.28710938,40.10253906,27.50097656,16.12680434,17.69236443,13.75660349,260.0738182,313.0197592,189.2441397,1
4015,22.64453125,38.84277344,24.97070313,16.5128563,20.59376628,15.47601222,272.6744232,424.1032095,239.5069542,1
4016,24.94140625,38.20898438,25.77734375,15.76470309,17.51977893,14.52500653,248.5258636,306.9426537,210.9758148,1
4017,26.34863281,40.51757813,27.83398438,17.3453698,19.48741791,15.58136963,300.8618536,379.7594566,242.7790794,1
4018,26.27929688,41.23535156,23.68359375,22.28868041,24.21663862,16.95125953,496.7852745,586.4455862,287.3451996,1
4019,25.8828125,42.95117188,25.79589844,15.90351577,18.23671281,14.1207247,252.921814,332.5776939,199.394866,1
4020,29.30761719,45.12890625,24.27148438,19.32620116,22.46531581,15.29388305,373.5020514,504.6904144,233.9028587,1
4021,29.95898438,41.28320313,24.95898438,22.4948405,25.37611357,17.79687575,506.017849,643.9471397,316.7287865,1
4022,30.63476563,43.36523438,24.45605469,20.18705017,22.02274664,16.34617042,407.5169945,485.0013695,267.1972876,1
4023,30.29589844,48.37011719,28.41796875,17.02277148,19.70511924,14.34722552,289.7747488,388.2917242,205.8428802,1
4024,29.55175781,55.96484375,21.95117188,18.3615825,22.32538,13.96911907,337.1477118,498.4225922,195.1362877,1
4025,33.5234375,48.32421875,29.71582031,19.69948637,17.60738147,14.92063325,388.0697632,310.0198822,222.6252966,1
4026,26.0234375,32.97265625,22.39941406,25.5356567,27.94926406,19.93680543,652.0697632,781.1613617,397.4762106,1
4027,31.17285156,53.91601563,21.421875,19.19249745,21.24932851,14.0277261,368.3519583,451.5339622,196.7770996,1
4028,30.34863281,40.18457031,24.77441406,22.5314567,24.09125952,17.91415319,507.6665411,580.3887854,320.9168844,1
