,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,std_r,std_g,std_b,std_h,std_s,std_v,var_r,var_g,var_b,var_h,var_s,var_v,class
4386,32.74609375,37.77148438,23.26171875,39.94726563,124.1630859,38.12695313,25.17334404,27.237356,21.23156046,18.70471491,72.67744828,26.96354411,633.6972504,741.8735619,450.7791595,349.8663597,5282.011489,727.032711,1
4387,29.99707031,38.58496094,23.14648438,43.85449219,130.0683594,39.3359375,23.47561466,28.47783212,21.54433173,24.42441544,71.97493877,27.96248948,551.1044836,810.9869223,464.1582298,596.5520697,5180.391811,781.9008179,1
4388,31.47070313,40.56445313,22.89550781,43.06054688,136.4335938,40.62597656,25.24866799,28.45569037,22.06315994,12.52311324,73.66892713,28.44930643,637.4952354,809.7263145,486.7830267,156.8283653,5427.110825,809.3630362,1
4389,31.77929688,45.61035156,23.86132813,47.19042969,140.9941406,45.62792969,23.82181005,30.42767312,20.89478639,10.31618619,66.66012475,30.40888737,567.4786339,925.8432913,436.5920982,106.4236975,4443.572231,924.7004309,1
4390,36.77832031,50.66796875,30.09570313,49.33007813,123.7695313,50.68554688,22.11698033,25.52612612,20.75344995,7.877382675,60.77008742,25.49760149,489.1608191,651.5831146,430.7056847,62.05315781,3693.003525,650.1276817,1
4391,38.56640625,48.54394531,28.84472656,45.42382813,127.484375,48.99609375,23.15090366,25.77899654,21.18050012,18.75531327,63.23593092,25.30837128,535.9643402,664.5566626,448.6135855,351.761776,3998.782959,640.5136566,1
4392,28.15039063,31.08105469,20.10449219,39.38671875,128.2460938,32.28417969,25.08759731,28.26901103,21.79753739,35.81733796,81.4175675,27.53740893,629.3875389,799.1369848,475.1326361,1282.881699,6628.820297,758.3088903,1
4393,32.75488281,43.69238281,21.03417969,43.08398438,147.5058594,43.9453125,18.06070156,22.49974176,14.92192584,8.954789731,57.20141536,22.38588548,326.188941,506.2383795,222.6638708,80.18825912,3272.001919,501.1278687,1
4394,41.71289063,54.74414063,28.2734375,40.31054688,138.8623047,55.35253906,23.40242354,31.74238597,20.69838831,14.00499514,54.42789798,31.03881349,547.6734276,1007.579067,428.4232788,196.1398888,2962.396079,963.4079428,1
4395,29.11132813,40.09082031,21.92773438,46.81347656,138.1689453,40.24804688,19.7586341,23.68120286,18.21573872,15.08003952,64.13536841,23.51082273,390.4036217,560.7993689,331.8131371,227.4075918,4113.345481,552.7587852,1
4396,30.83300781,45.30273438,22.453125,47.73828125,152.0351563,45.42285156,19.33984826,23.79457479,18.2642215,8.968687901,60.5145477,23.67553922,374.0297308,566.1817894,333.5817871,80.43736267,3662.010483,560.5311575,1
4397,41.52539063,58.96484375,32.04296875,49.734375,129.8955078,58.96484375,18.85329205,20.43598844,17.54820674,4.847251758,47.80042555,20.43598844,355.4466209,417.6296234,307.9395599,23.49584961,2284.880683,417.6296234,1
4398,32.29394531,42.171875,24.55566406,44.86621094,124.9316406,42.24902344,19.70977219,22.64285703,17.8385453,9.883138997,64.05664009,22.56205633,388.4751196,512.6989746,318.2136984,97.67643642,4103.253139,509.0463858,1
4399,38.32421875,52.65527344,28.98144531,47.61425781,130.0097656,52.65527344,18.91351512,21.62096493,17.74644131,6.4153618,51.9976703,21.62096493,357.7210541,467.4661245,314.9361792,41.15686703,2703.757717,467.4661245,1
4400,31.12109375,40.66699219,23.06054688,45.21191406,130.2167969,40.66699219,18.49411288,20.30392714,16.74137622,8.152658132,63.8278008,20.30392714,342.0322113,412.2494574,280.2736778,66.46583462,4073.988155,412.2494574,1
4401,36.09667969,48.13378906,26.5390625,46.68652344,133.2841797,48.13867188,20.52174506,23.33194294,18.27418233,6.765489608,57.71695063,23.32553064,421.1420202,544.3795614,333.9457397,45.77184963,3331.24639,544.0803795,1
4402,35.25683594,46.91894531,26.33105469,46.45117188,130.4316406,46.92578125,22.08394523,24.75600212,19.80537067,8.226740329,64.34854747,24.75521487,487.7006369,612.8596411,392.2527075,67.67925644,4140.735561,612.8206635,1
4403,31.34765625,43.46582031,22.2265625,46.55371094,145.7412109,43.46972656,18.62768003,20.91712637,16.82252946,6.823031274,61.59170009,20.91115557,346.9904633,437.5261755,282.9974976,46.55375576,3793.53752,437.2764273,1
4404,39.16113281,54.88671875,28.765625,47.75390625,136.9394531,54.88671875,19.44986577,21.7822332,17.89950653,5.207415121,52.32269396,21.7822332,378.2972784,474.465683,320.392334,27.11717224,2737.664303,474.465683,1
4405,25.0546875,33.15917969,18.29394531,42.97558594,142.7431641,33.4609375,19.66901259,23.82588727,17.64755102,15.06432787,70.54260578,23.55488184,386.8700562,567.672904,311.4360571,226.9339743,4976.259231,554.8324585,1
4406,33.8671875,47.09667969,25.0078125,48.16015625,138.8203125,47.18164063,20.80405087,24.4984739,19.14275977,15.89908773,61.616085,24.38365661,432.8085327,600.1752234,366.4452515,252.7809906,3796.541931,594.5627098,1
4407,30.28222656,40.1640625,22.00683594,44.70214844,139.1845703,40.24707031,19.06683958,22.17597494,17.76394017,9.59991431,64.95133482,22.10748095,363.5443716,491.7738647,315.5575705,92.15835476,4218.675895,488.7407141,1
4408,32.76953125,47.22558594,24.46972656,49.22851563,143.5957031,47.22558594,19.60253515,21.77573212,17.90636075,6.750616822,58.99359921,21.77573212,384.2593842,474.1825094,320.6377554,45.57082748,3480.244747,474.1825094,1
4409,33.99316406,51.46679688,27.35449219,51.5703125,140.5019531,51.46679688,21.22307467,23.63725028,20.04648697,6.103512812,59.25153278,23.63725028,450.4188986,558.7196007,401.86164,37.25286865,3510.744137,558.7196007,1
4410,29.14355469,37.76757813,19.42773438,41.53417969,143.7773438,37.91601563,17.80388765,20.58140951,15.77672127,10.76565011,65.6095014,20.41456993,316.9784155,423.5944176,248.9049339,115.8992224,4304.606674,416.7546654,1
4411,33.63964844,39.9140625,22.31152344,39.27734375,137.7900391,40.19824219,19.32943307,20.76939129,17.28268032,9.672934331,62.70064557,20.58843247,373.6269827,431.3676147,298.6910391,93.56565857,3931.370955,423.8835516,1
4412,25.93457031,36.59375,17.06152344,43.8828125,155.1386719,36.7734375,18.33479382,23.61083818,15.26616472,14.7981186,65.72699149,23.43765495,336.1646643,557.4716797,233.0557852,218.984314,4320.037411,549.3236694,1
4413,34.45898438,46.85839844,24.13574219,45.42089844,141.4462891,46.92773438,18.07704533,21.00294036,16.63422359,7.164473494,53.82664454,20.91352761,326.7795677,441.1235037,276.6973944,51.32968044,2897.307662,437.3756371,1
4414,27.07910156,35.70214844,17.94921875,43.33691406,147.2158203,35.77148438,16.41671074,18.76801622,14.58579679,10.15950739,63.10715484,18.69252982,269.5083914,352.2384329,212.7454681,103.2155905,3982.512992,349.4106712,1
4415,17.81933594,23.62207031,14.07617188,47.57226563,137.1982422,23.94140625,20.38989048,23.99785841,18.53454489,30.02737443,83.698041,23.77413421,415.7476339,575.8972082,343.5293541,901.6432152,7005.362067,565.2094574,1
4416,30.42578125,35.8046875,22.0078125,54.94433594,123.7011719,36.74316406,27.42209062,33.79012282,21.80349782,48.62893448,76.39658399,32.99940003,751.9710541,1141.7724,475.3925171,2364.773269,5836.438046,1088.960402,1
4417,30.65722656,36.79394531,23.33398438,41.45507813,122.5185547,36.95410156,22.33425687,24.66556625,20.3105234,11.88149221,72.80297448,24.56060828,498.8190298,608.3901587,412.5173607,141.169857,5300.273093,603.2234793,1
4418,32.38085938,46.66015625,26.171875,49.49804688,138.0615234,46.7578125,22.40530125,26.94757161,21.13650182,13.01936644,64.4083585,26.83481621,501.9975243,726.1716156,446.751709,169.5039024,4148.436645,720.1073608,1
4419,33.05664063,43.87597656,25.83300781,45.45996094,131.0605469,43.8984375,24.50073171,28.438689,22.40741464,11.00054857,70.12202148,28.41749704,600.2858543,808.7590322,502.0922308,121.0120687,4917.097897,807.5541382,1
4420,39.91015625,39.69140625,23.00292969,31.27050781,140.0058594,44.44140625,21.16789594,22.7631419,17.11607292,22.52589806,60.70880133,22.37374482,448.0798187,518.1606293,292.9599524,507.4160833,3685.558559,500.5844574,1
4421,33.21972656,42.24609375,23.25976563,43.46972656,134.9833984,42.37109375,20.90327337,21.87629426,17.16017437,11.35708847,62.77608333,21.74166921,436.9468374,478.5722504,294.4715843,128.9834585,3940.836638,472.7001801,1
4422,37.16210938,51.85742188,27.46484375,46.15429688,136.0859375,51.86425781,23.23804905,28.84676622,20.58710378,10.49458664,60.58639587,28.83547301,540.0069237,832.1359215,423.8288422,110.1363487,3670.711365,831.4845037,1
4423,33.74316406,43.98144531,23.7265625,44.66210938,137.3417969,44.02539063,22.04118686,25.11047169,19.06099988,11.97593167,64.29945788,25.06205852,485.8139181,630.5357885,363.3217163,143.4229393,4134.420284,628.1067772,1
4424,43.50195313,53.3359375,29.07519531,42.52148438,138.5791016,53.37109375,28.157828,28.30947206,22.68472801,8.920302912,62.23554671,28.34867626,792.8632774,801.4262085,514.5968847,79.57180405,3873.263274,803.6474457,1
4425,45.49414063,54.29003906,29.86035156,41.52246094,131.1660156,54.3203125,23.8676765,24.67564704,19.81967118,7.604190572,56.05446725,24.70839578,569.6659813,608.887557,392.8193655,57.82371426,3142.103298,610.5048218,1
4426,34.17089844,46.94824219,26.71582031,48.28125,134.4042969,46.95117188,22.69557133,25.23487822,21.02161982,7.691246546,62.80962852,25.23358762,515.0889578,636.7990789,441.9084997,59.15527344,3945.049435,636.7339439,1
4427,34.17089844,46.94824219,26.71582031,48.28125,134.4042969,46.95117188,22.69557133,25.23487822,21.02161982,7.691246546,62.80962852,25.23358762,515.0889578,636.7990789,441.9084997,59.15527344,3945.049435,636.7339439,1
4428,35.50390625,51.18261719,26.13378906,48.6796875,141.8417969,51.18261719,18.29894935,20.87024765,16.66286427,4.532967078,50.94172117,20.87024765,334.8515472,435.5672369,277.6510458,20.54779053,2595.058956,435.5672369,1
4429,40.87695313,56.28320313,28.39941406,46.16601563,144.1904297,56.33496094,22.68191426,24.91755686,20.0658496,7.631002846,58.58063908,24.88595292,514.4692345,620.8846397,402.63832,58.23220444,3431.691276,619.3106527,1
4430,28.953125,40.99121094,21.88671875,48.96582031,141.8779297,41.03515625,20.26031156,24.51683336,18.52955988,13.55910829,64.95946559,24.46108066,410.4802246,601.0751181,343.3445892,183.8494177,4219.732169,598.3444672,1
4431,35.10839844,52.14355469,26.58496094,50.1640625,145.4169922,52.14355469,20.07293751,22.79121219,18.3094763,4.479819932,56.54232154,22.79121219,402.9228201,519.439353,335.2369223,20.06878662,3197.034125,519.439353,1
4432,23.70800781,32.546875,18.72460938,47.44433594,136.5224609,32.96582031,20.17476607,25.3460763,18.58690367,24.70582443,76.03423291,25.00194922,407.0211859,642.423584,345.4729881,610.3777609,5781.204574,625.0974646,1
4433,32.80761719,45.22167969,26.9296875,49.18261719,127.6748047,45.23535156,23.03659412,25.70548866,21.47470663,9.86346491,65.3634125,25.68872184,530.6846685,660.7721472,461.1630249,97.28794003,4272.375693,659.91043,1
4434,31.82226563,43.66015625,24.89550781,48.04785156,131.0576172,43.68945313,20.2925299,23.50315251,18.81031495,11.73156197,63.18633778,23.46829739,411.7867699,552.3981781,353.8279486,137.6295462,3992.513282,550.7609825,1
4435,26.36425781,33.16210938,20.1953125,43.05566406,129.0185547,33.43261719,20.93808609,23.70886837,19.03381391,17.56032647,75.62384198,23.49674492,438.4034491,562.1104393,362.2860718,308.3650656,5718.965476,552.0970221,1
4436,36.77734375,45.15917969,26.30566406,44.19335938,126.6025391,45.80664063,19.81356549,24.1854217,18.58960897,26.91170667,58.83714641,23.51777326,392.5773773,584.9346228,345.5735617,724.2399559,3461.809798,553.085659,1
4437,25.62988281,37.96191406,19.33886719,48.50976563,147.5917969,38.23242188,20.75947462,26.7929619,18.06691698,17.62582839,67.58964946,26.53098652,430.9557867,717.8628073,326.4134893,310.6698265,4568.360714,703.8932457,1
4438,41.59277344,60.15625,32.60839844,50.28222656,132.7714844,60.15625,21.88551503,23.91760351,19.57028519,6.559630066,50.8492192,23.91760351,478.9757681,572.0517578,382.9960623,43.0287466,2585.643093,572.0517578,1
4439,44.63378906,59.15527344,33.31542969,45.66308594,126.2890625,59.15527344,23.03181544,28.61036593,20.24341898,7.295570992,53.44013551,28.61036593,530.4645224,818.5530386,409.7960119,53.2253561,2855.848083,818.5530386,1
4440,42.77050781,46.14160156,31.74609375,35.04101563,105.1972656,47.47851563,21.28441765,23.58492111,20.22505177,13.365588,56.60128291,22.70637832,453.0264349,556.2485037,409.0527191,178.6389427,3203.705227,515.5796165,1
4441,23.30371094,30.48046875,18.234375,45.43945313,135.8935547,30.91308594,18.84207978,22.20302295,17.83621639,18.41678513,73.85144901,21.8698937,355.0239706,492.9742279,318.1306152,339.1779747,5454.036521,478.2922506,1
4442,23.17773438,28.78613281,17.30957031,43.20703125,127.6943359,28.828125,18.18931618,20.13276643,16.38927295,14.6894317,76.33125363,20.12125717,330.851223,405.3282843,268.6082678,215.7794037,5826.46028,404.8649902,1
4443,34.89941406,49.19824219,27.13964844,49.34863281,135.3652344,49.20019531,20.54127513,22.96491798,19.55863156,5.393005642,58.23750371,22.96268968,421.943984,527.3874578,382.5400686,29.08450985,3391.606838,527.2851171,1
4444,29.7890625,40.86425781,23.60449219,48.50488281,130.2695313,40.97851563,19.87157099,23.00429078,18.59248471,14.06048512,64.12262125,22.8739226,394.8793335,529.1973944,345.6804876,197.6972418,4111.710556,523.2163353,1
4445,26.45410156,34.94335938,20.87109375,46.03417969,131.1962891,35.34472656,18.72539643,22.6693866,18.14505852,21.50267524,68.13586171,22.26341133,350.6404715,513.9010887,329.2431488,462.3650427,4642.49565,495.6594839,1
4446,31.05273438,43.22070313,23.46777344,47.79882813,141.7119141,43.22460938,20.93444829,23.64264638,19.05755408,8.772435444,65.47605131,23.63761113,438.2511253,558.9747276,363.1903677,76.95562363,4287.113296,558.73666,1
4447,25.82324219,33.37792969,19.17480469,41.75976563,139.0546875,34.19433594,21.89198017,27.23621249,19.57846069,26.12632514,75.27733189,26.54555208,479.2587957,741.8112707,383.316123,682.5848656,5666.676697,704.6663351,1
4448,33.14257813,52.08105469,23.92285156,50.70507813,156.2490234,52.08105469,18.78437431,20.76515524,17.0912334,3.474647801,52.20315539,20.76515524,352.8527184,431.1916723,292.1102591,12.07317734,2725.169433,431.1916723,1
4449,32.54394531,43.55273438,24.28710938,44.57714844,133.6240234,43.64941406,20.83280781,25.57443854,19.03326626,10.37810125,61.89545313,25.54979704,434.0058813,654.0519066,362.2652245,107.7049856,3831.047118,652.7921286,1
4450,33.890625,48.7109375,27.72167969,50.53125,133.0419922,48.71484375,21.00622466,24.31640468,19.91092662,6.560639617,61.15704996,24.30910031,441.2614746,591.2875366,396.4449987,43.04199219,3740.18476,590.9323578,1
4451,38.02441406,53.30175781,28.67675781,48.35449219,133.7626953,53.30761719,19.34555196,21.45971327,17.60759354,6.087121342,51.88410439,21.44624686,374.2503805,460.5192938,310.0273504,37.05304623,2691.960288,459.9415045,1
4452,32.82617188,41.48925781,23.75878906,44.77441406,133.0791016,41.48925781,19.16756544,20.27221683,17.31141188,7.091677123,63.13793643,20.27221683,367.395565,410.9627752,299.6849813,50.29188442,3986.399016,410.9627752,1
4453,32.01171875,43.05566406,23.88476563,47.29785156,136.0898438,43.05566406,18.53564607,19.96221595,17.35099517,5.486324909,59.97303866,19.96221595,343.5701752,398.4900656,301.0570335,30.09976101,3596.765366,398.4900656,1
4454,29.77734375,40.72753906,22.88574219,47.76464844,138.6689453,40.73339844,19.93067169,22.11151124,18.69396919,7.621431047,65.12367121,22.11873626,397.2316742,488.9189291,349.4644842,58.0862112,4241.092551,489.2384939,1
4455,32.83886719,49.74121094,27.37695313,52.04199219,138.078125,49.74121094,21.11164549,24.13168667,20.14189159,6.16466702,61.90002453,24.13168667,445.7015753,582.3383017,405.695797,38.00311947,3831.613037,582.3383017,1
4456,32.72851563,45.72558594,26.2578125,48.9453125,135.0234375,45.76367188,22.84438113,27.03733475,21.45289028,9.265766625,65.14973317,27.01202005,521.8657494,731.0174704,460.2265015,85.85443115,4244.487732,729.6492271,1
4457,33.03515625,44.81054688,27.45507813,49.71972656,122.7880859,44.87011719,21.28830955,24.11555122,19.75326154,10.77380003,64.85397521,24.06058689,453.1921234,581.5598106,390.1913414,116.0747671,4206.0381,578.9118414,1
4458,34.8671875,50.19824219,28.12988281,50.35546875,133.5488281,50.19824219,20.55290281,23.15320824,19.44748853,5.984241135,57.71122513,23.15320824,422.421814,536.0710516,378.2048101,35.81114197,3330.585506,536.0710516,1
4459,30.83789063,41.91699219,24.79882813,46.66699219,127.1240234,42.04980469,20.97690066,25.25518094,19.73557025,12.05624208,67.67068444,25.15697709,440.0303612,637.8241644,389.492733,145.352973,4579.321532,632.8734961,1
4460,28.97851563,39.16699219,22.87109375,46.66503906,137.5683594,39.35449219,24.42014104,28.75544181,22.04259425,15.16536802,72.64614321,28.55744484,596.3432884,826.8754339,485.8759613,229.9883871,5277.462124,815.5276556,1
4461,29.06445313,38.79296875,21.65039063,45.30078125,133.9775391,38.91601563,18.74863917,21.57341457,16.93504479,11.80668505,64.67888291,21.40063287,351.5114708,465.4122162,286.795742,139.3978119,4183.357894,457.9870872,1
4462,26.78125,32.80078125,19.16601563,39.66503906,136.5673828,34.39746094,20.04879302,27.07702698,18.25058265,31.9541925,72.76964505,25.97443217,401.9541016,733.16539,333.0837669,1021.070418,5295.421241,674.6711264,1
4463,26.72558594,36.19335938,18.51074219,50.6328125,147.6513672,36.59472656,20.0494966,24.89328228,16.79343371,27.94644602,67.41024514,24.4272839,401.9823141,619.6755028,282.0194159,781.0038452,4544.14115,596.6921988,1
4464,26.97558594,33.95507813,18.99121094,41.21191406,131.7919922,34.08984375,18.67841516,21.84390499,15.99331284,13.69110307,69.12499078,21.69339199,348.883193,477.1561852,255.7860556,187.4463034,4778.26435,470.6032562,1
4465,26.10058594,33.95214844,19.41992188,43.42578125,132.6728516,34.09375,20.14635512,23.80890424,17.48384951,14.26822982,74.92727858,23.70326405,405.8756247,566.8639212,305.6849937,203.5823822,5614.097075,561.8447266,1
4466,36.33203125,46.82519531,26.90429688,45.28027344,129.5585938,46.859375,21.51836764,23.4022174,19.22290659,8.36476529,61.2328299,23.41706922,463.0401459,547.6637793,369.5201378,69.96929836,3749.459457,548.3591309,1
4467,35.36132813,49.30566406,27.45410156,48.92773438,133.40625,49.30566406,20.20936095,22.12105648,18.72289298,6.650500183,56.43325185,22.12105648,408.4182701,489.3411398,350.5467215,44.22915268,3184.711914,489.3411398,1
4468,38.10351563,57.38183594,26.10742188,48.61816406,150.5214844,57.38183594,16.92628282,19.44874329,15.21127844,4.49975066,46.99550684,19.44874329,286.4990501,378.2536154,231.3829918,20.247756,2208.577663,378.2536154,1
4469,30.70019531,43.98242188,23.27636719,47.06542969,141.7070313,44.20800781,19.83961473,25.12036811,18.38368173,15.14411938,62.28317161,24.82254784,393.6103125,631.0328941,337.959754,229.3443518,3879.193466,616.1588812,1
4470,31.77050781,40.08496094,23.95703125,41.15625,134.2001953,40.68554688,24.20180999,28.75644643,21.73005797,16.77048072,71.71911057,28.24334037,585.7276068,826.9332113,472.1954193,281.2490234,5143.63082,797.6862755,1
4471,37.85742188,51.046875,26.35253906,45.04492188,143.8232422,51.06347656,24.50608151,27.65361481,21.18873829,9.089718479,63.83394448,27.64127197,600.5480309,764.7224121,448.9626303,82.62298203,4074.772468,764.039916,1
4472,23.44238281,30.28320313,17.40234375,40.12792969,140.3164063,30.68652344,20.35257107,24.0306175,18.60706546,15.85401668,77.19879399,23.82714391,414.227149,577.4705772,346.2228851,251.3498449,5959.653793,567.7327871,1
4473,33.36328125,47.31054688,24.36621094,47.77050781,141.0273438,47.31054688,20.15910492,24.00681963,17.80821415,7.617893034,59.00869933,24.00681963,406.3895111,576.3273888,317.1324911,58.03229427,3482.026596,576.3273888,1
4474,28.56835938,41.79003906,22.68457031,49.82910156,135.6660156,41.93847656,19.26184738,23.85375892,17.68129077,16.16513576,65.66263636,23.67952381,371.0187645,569.0018148,312.6280432,261.311614,4311.581814,560.7198477,1
4475,29.1328125,41.44433594,23.73828125,50.16699219,131.1757813,41.62695313,20.98734592,25.9267076,19.43674284,20.87856548,67.68588669,25.71196174,440.468689,672.1941671,377.786972,435.9144964,4581.379257,661.1049767,1
4476,25.73046875,33.90039063,20.42773438,45.81933594,130.2939453,34.03125,19.90312498,22.89884856,18.46186558,16.1643046,74.14287913,22.74684473,396.1343842,524.3572655,340.8404808,261.2847433,5497.166526,517.4189453,1
4477,22.23339844,31.51757813,15.75585938,43.23925781,142.2861328,31.68359375,15.67645334,20.00116412,13.96728057,13.84182344,69.00965995,19.87429943,245.7511892,400.046566,195.0849266,191.596076,4762.333167,394.9877777,1
4478,22.54199219,30.86425781,15.38085938,45.44628906,152.4189453,30.93359375,16.49740138,18.73921908,14.8006105,12.6264327,65.54724018,18.67755495,272.1642523,351.1583319,219.0580711,159.4268026,4296.440696,348.851059,1
